elements,Mass price (USD/kg),Supply risk,Normalized vulnerability to supply restriction,Embodied energy (MJ/kg),Rock to metal ratio (kg/kg),Water usage (l/kg),Human health damage,Child labor,Corruption,Human rights violation,Labor rights disregard
Al,1.5500000000000003,0.01,0.022607658318411647,199.50000000000003,7.000000000000001,1009.5000000000002,17.719688791659856,8.388157894736842,1.8832700000000002,42.54453532726056,22.07587012164555
C,0.122,0.014753668641826978,0.009999999999999995,220.00000000000009,48.43757280474823,261.99999999999994,23.25386746472407,6.9285307017543865,2.271358,84.55561270073618,48.020450167559375
Co,29.450000000000014,0.6352488687782804,0.1243708486270061,128.00000000000009,858.9999999999997,582.4999999999998,21.93187390987441,13.040679824561401,3.027836,44.33106181240336,74.3338522838219
Cr,10.299999999999999,0.6559426847662136,0.15176237343607707,578.0000000000001,17.999999999999982,474.50000000000006,14.014361598628103,6.002675438596491,2.2160480000000002,26.95818621196686,8.74203103148011
Cu,5.999999999999997,0.3366666666666668,0.08779591666906526,59.000000000000014,512.9999999999999,312.5000000000001,46.024055817718526,8.501052631578949,1.902894,17.732801883153506,35.41817821991185
Fe,0.6774999999999993,0.02478129713423831,0.10085601701374429,24.39999999999999,9.000000000000005,47.25,2.223592215578762,4.195219298245615,1.57078,25.269071379825334,25.7042259281738
Hf,899.9999999999993,0.7461085972850675,0.2559887886242534,1132.5000000000005,3684.847718449872,8130.0000000000055,45.50015354623286,1.0,1.0,5.84505853534705,65.23807293453308
Mg,2.32,0.042518853695324266,0.13091100125193933,326.0,10.000000000000002,979.9999999999998,9.986049010419002,4.929385964912282,2.1961130000000004,97.50393147853264,47.908284296909926
Mn,1.6149999999999998,0.5790799396681744,0.1262767768374612,58.650000000000006,87.2924692192419,243.49999999999994,6.043710927320991,7.84328947368421,2.062701,13.703578057569388,36.99742195952189
Mo,26.299999999999986,0.6662895927601808,0.1407227921828927,112.49999999999999,4478.0,358.9999999999999,55.37125149319414,5.841710526315789,1.8484470000000002,38.93351927495954,48.668232313903445
Nb,80.84999999999997,0.01,0.22922680916504534,1849.9999999999995,503.2400217307085,154.50000000000006,22.272511861111028,5.298881578947368,2.338232,28.558289732659468,1.6723487347283594
Ni,11.050000000000002,0.017390648567119152,0.08750698222089522,167.00000000000006,249.9999999999999,228.00000000000006,35.891298259089325,6.864846491228069,2.124156,21.593598860613014,59.8544343879463
Re,1110.0,0.7461085972850675,0.99,8665.000000000007,102681.54700186872,3800.0000000000014,99.0,5.155570175438596,1.2235710000000002,1.0,25.270302398606702
Ru,7390.0000000000055,0.7121116138763196,0.8649441600440864,24399.999999999996,218489.99999999983,196000.00000000006,91.79922197914965,1.344298245614035,2.1020440000000002,7.6243154941464795,1.0
Si,1.699999999999999,0.023233273959735363,0.10381479951691493,122.00000000000003,3.000000000000001,24.45,10.400879498319178,4.245328947368421,2.069642,86.84745203925874,66.08490909570673
Ta,307.50000000000017,0.3277978883861238,0.04363142966851395,4364.999999999999,8946.0,648.5,56.67151215078735,17.039057017543858,2.59978,54.689006036509184,99.0
Ti,13.550000000000004,0.01,0.023958852946913092,587.5,98.99999999999999,110.00000000000004,16.03135654661728,8.273684210526316,1.9663510000000002,37.14828515005557,36.327012692297615
V,385.0000000000005,0.6130769230769227,0.11267192054106785,3714.9999999999973,1335.0000000000002,648.5,29.13265193072477,4.57530701754386,2.33507,85.59079325203331,29.067973718236317
W,47.299999999999976,0.04104072398190044,0.10179672830239887,578.0000000000001,1080.9999999999998,154.50000000000006,32.12124483336057,5.3657236842105265,2.187622,99.00000000000001,52.714478718631995
Zr,52.800000000000004,0.9899999999999999,0.07712938185405734,1609.999999999999,275.0000000000001,275.50000000000006,1.0,1.704934210526316,1.4554950000000002,9.638782016411689,20.951302213895474
